date,metric,category,geography,unit,series_type,value
2012-08-01,Household spending,Alcoholic beverages and tobacco,Australian Capital Territory,$ Millions,Seasonally Adjusted,37.0
2012-08-01,Household spending - Percentage change from previous period,Alcoholic beverages and tobacco,Australian Capital Territory,Percent,Seasonally Adjusted,1.6
2012-08-01,Household spending,Clothing and footwear,Australian Capital Territory,$ Millions,Seasonally Adjusted,48.2
2012-08-01,Household spending - Percentage change from previous period,Clothing and footwear,Australian Capital Territory,Percent,Seasonally Adjusted,4.0
2012-08-01,Household spending,Discretionary,Australian Capital Territory,$ Millions,Seasonally Adjusted,538.6
2012-08-01,Household spending - Percentage change from previous period,Discretionary,Australian Capital Territory,Percent,Seasonally Adjusted,2.3
2012-08-01,Household spending,Food,Australian Capital Territory,$ Millions,Seasonally Adjusted,146.7
2012-08-01,Household spending - Percentage change from previous period,Food,Australian Capital Territory,Percent,Seasonally Adjusted,2.3
2012-08-01,Household spending,Furnishings and household equipment,Australian Capital Territory,$ Millions,Seasonally Adjusted,55.5
2012-08-01,Household spending - Percentage change from previous period,Furnishings and household equipment,Australian Capital Territory,Percent,Seasonally Adjusted,1.9
2012-08-01,Household spending,Goods,Australian Capital Territory,$ Millions,Seasonally Adjusted,456.0
2012-08-01,Household spending - Percentage change from previous period,Goods,Australian Capital Territory,Percent,Seasonally Adjusted,3.2
2012-08-01,Household spending,Health,Australian Capital Territory,$ Millions,Seasonally Adjusted,58.6
2012-08-01,Household spending - Percentage change from previous period,Health,Australian Capital Territory,Percent,Seasonally Adjusted,2.2
2012-08-01,Household spending,"Hotels, cafes and restaurants",Australian Capital Territory,$ Millions,Seasonally Adjusted,121.1
2012-08-01,Household spending - Percentage change from previous period,"Hotels, cafes and restaurants",Australian Capital Territory,Percent,Seasonally Adjusted,6.9
2012-08-01,Household spending,Miscellaneous goods and services,Australian Capital Territory,$ Millions,Seasonally Adjusted,82.4
2012-08-01,Household spending - Percentage change from previous period,Miscellaneous goods and services,Australian Capital Territory,Percent,Seasonally Adjusted,-0.8
2012-08-01,Household spending,Non Discretionary,Australian Capital Territory,$ Millions,Seasonally Adjusted,293.0
2012-08-01,Household spending - Percentage change from previous period,Non Discretionary,Australian Capital Territory,Percent,Seasonally Adjusted,3.1
2012-08-01,Household spending,Recreation and culture,Australian Capital Territory,$ Millions,Seasonally Adjusted,125.8
2012-08-01,Household spending - Percentage change from previous period,Recreation and culture,Australian Capital Territory,Percent,Seasonally Adjusted,1.5
2012-08-01,Household spending,Services,Australian Capital Territory,$ Millions,Seasonally Adjusted,375.6
2012-08-01,Household spending - Percentage change from previous period,Services,Australian Capital Territory,Percent,Seasonally Adjusted,1.8
2012-08-01,Household spending,Total (Household Spending Categories),Australian Capital Territory,$ Millions,Seasonally Adjusted,831.6
2012-08-01,Household spending - Percentage change from previous period,Total (Household Spending Categories),Australian Capital Territory,Percent,Seasonally Adjusted,2.6
2012-08-01,Household spending,Transport,Australian Capital Territory,$ Millions,Seasonally Adjusted,156.4
2012-08-01,Household spending - Percentage change from previous period,Transport,Australian Capital Territory,Percent,Seasonally Adjusted,2.5
2012-08-01,Household spending,Alcoholic beverages and tobacco,New South Wales,$ Millions,Seasonally Adjusted,866.1
2012-08-01,Household spending - Percentage change from previous period,Alcoholic beverages and tobacco,New South Wales,Percent,Seasonally Adjusted,0.3
2012-08-01,Household spending,Clothing and footwear,New South Wales,$ Millions,Seasonally Adjusted,831.9
2012-08-01,Household spending - Percentage change from previous period,Clothing and footwear,New South Wales,Percent,Seasonally Adjusted,-0.7
2012-08-01,Household spending,Discretionary,New South Wales,$ Millions,Seasonally Adjusted,9412.1
2012-08-01,Household spending - Percentage change from previous period,Discretionary,New South Wales,Percent,Seasonally Adjusted,1.3
2012-08-01,Household spending,Food,New South Wales,$ Millions,Seasonally Adjusted,2031.7
2012-08-01,Household spending - Percentage change from previous period,Food,New South Wales,Percent,Seasonally Adjusted,0.8
2012-08-01,Household spending,Furnishings and household equipment,New South Wales,$ Millions,Seasonally Adjusted,988.2
2012-08-01,Household spending - Percentage change from previous period,Furnishings and household equipment,New South Wales,Percent,Seasonally Adjusted,1.6
2012-08-01,Household spending,Goods,New South Wales,$ Millions,Seasonally Adjusted,7750.9
2012-08-01,Household spending - Percentage change from previous period,Goods,New South Wales,Percent,Seasonally Adjusted,1.2
2012-08-01,Household spending,Health,New South Wales,$ Millions,Seasonally Adjusted,1200.7
2012-08-01,Household spending - Percentage change from previous period,Health,New South Wales,Percent,Seasonally Adjusted,1.5
2012-08-01,Household spending,"Hotels, cafes and restaurants",New South Wales,$ Millions,Seasonally Adjusted,1835.2
2012-08-01,Household spending - Percentage change from previous period,"Hotels, cafes and restaurants",New South Wales,Percent,Seasonally Adjusted,5.3
2012-08-01,Household spending,Miscellaneous goods and services,New South Wales,$ Millions,Seasonally Adjusted,1336.0
2012-08-01,Household spending - Percentage change from previous period,Miscellaneous goods and services,New South Wales,Percent,Seasonally Adjusted,-1.0
2012-08-01,Household spending,Non Discretionary,New South Wales,$ Millions,Seasonally Adjusted,4984.4
2012-08-01,Household spending - Percentage change from previous period,Non Discretionary,New South Wales,Percent,Seasonally Adjusted,1.0
2012-08-01,Household spending,Recreation and culture,New South Wales,$ Millions,Seasonally Adjusted,2509.0
2012-08-01,Household spending - Percentage change from previous period,Recreation and culture,New South Wales,Percent,Seasonally Adjusted,0.0
2012-08-01,Household spending,Services,New South Wales,$ Millions,Seasonally Adjusted,6645.6
2012-08-01,Household spending - Percentage change from previous period,Services,New South Wales,Percent,Seasonally Adjusted,1.2
2012-08-01,Household spending,Total (Household Spending Categories),New South Wales,$ Millions,Seasonally Adjusted,14396.5
2012-08-01,Household spending - Percentage change from previous period,Total (Household Spending Categories),New South Wales,Percent,Seasonally Adjusted,1.2
2012-08-01,Household spending,Transport,New South Wales,$ Millions,Seasonally Adjusted,2797.8
2012-08-01,Household spending - Percentage change from previous period,Transport,New South Wales,Percent,Seasonally Adjusted,1.6
2012-08-01,Household spending,Alcoholic beverages and tobacco,Northern Territory,$ Millions,Seasonally Adjusted,23.9
2012-08-01,Household spending - Percentage change from previous period,Alcoholic beverages and tobacco,Northern Territory,Percent,Seasonally Adjusted,1.4
2012-08-01,Household spending,Clothing and footwear,Northern Territory,$ Millions,Seasonally Adjusted,19.7
2012-08-01,Household spending - Percentage change from previous period,Clothing and footwear,Northern Territory,Percent,Seasonally Adjusted,0.7
2012-08-01,Household spending,Discretionary,Northern Territory,$ Millions,Seasonally Adjusted,344.1
2012-08-01,Household spending - Percentage change from previous period,Discretionary,Northern Territory,Percent,Seasonally Adjusted,1.9
2012-08-01,Household spending,Food,Northern Territory,$ Millions,Seasonally Adjusted,72.5
2012-08-01,Household spending - Percentage change from previous period,Food,Northern Territory,Percent,Seasonally Adjusted,-1.0
2012-08-01,Household spending,Furnishings and household equipment,Northern Territory,$ Millions,Seasonally Adjusted,38.1
2012-08-01,Household spending - Percentage change from previous period,Furnishings and household equipment,Northern Territory,Percent,Seasonally Adjusted,-1.5
2012-08-01,Household spending,Goods,Northern Territory,$ Millions,Seasonally Adjusted,245.8
2012-08-01,Household spending - Percentage change from previous period,Goods,Northern Territory,Percent,Seasonally Adjusted,0.5
2012-08-01,Household spending,Health,Northern Territory,$ Millions,Seasonally Adjusted,24.5
2012-08-01,Household spending - Percentage change from previous period,Health,Northern Territory,Percent,Seasonally Adjusted,2.3
2012-08-01,Household spending,"Hotels, cafes and restaurants",Northern Territory,$ Millions,Seasonally Adjusted,98.0
2012-08-01,Household spending - Percentage change from previous period,"Hotels, cafes and restaurants",Northern Territory,Percent,Seasonally Adjusted,4.5
2012-08-01,Household spending,Miscellaneous goods and services,Northern Territory,$ Millions,Seasonally Adjusted,56.2
2012-08-01,Household spending - Percentage change from previous period,Miscellaneous goods and services,Northern Territory,Percent,Seasonally Adjusted,0.5
2012-08-01,Household spending,Non Discretionary,Northern Territory,$ Millions,Seasonally Adjusted,136.7
2012-08-01,Household spending - Percentage change from previous period,Non Discretionary,Northern Territory,Percent,Seasonally Adjusted,0.2
2012-08-01,Household spending,Recreation and culture,Northern Territory,$ Millions,Seasonally Adjusted,75.1
2012-08-01,Household spending - Percentage change from previous period,Recreation and culture,Northern Territory,Percent,Seasonally Adjusted,2.1
2012-08-01,Household spending,Services,Northern Territory,$ Millions,Seasonally Adjusted,234.9
2012-08-01,Household spending - Percentage change from previous period,Services,Northern Territory,Percent,Seasonally Adjusted,2.3
2012-08-01,Household spending,Total (Household Spending Categories),Northern Territory,$ Millions,Seasonally Adjusted,480.8
2012-08-01,Household spending - Percentage change from previous period,Total (Household Spending Categories),Northern Territory,Percent,Seasonally Adjusted,1.4
2012-08-01,Household spending,Transport,Northern Territory,$ Millions,Seasonally Adjusted,72.8
2012-08-01,Household spending - Percentage change from previous period,Transport,Northern Territory,Percent,Seasonally Adjusted,1.3
2012-08-01,Household spending,Alcoholic beverages and tobacco,Queensland,$ Millions,Seasonally Adjusted,521.6
2012-08-01,Household spending - Percentage change from previous period,Alcoholic beverages and tobacco,Queensland,Percent,Seasonally Adjusted,0.8
2012-08-01,Household spending,Clothing and footwear,Queensland,$ Millions,Seasonally Adjusted,475.8
2012-08-01,Household spending - Percentage change from previous period,Clothing and footwear,Queensland,Percent,Seasonally Adjusted,2.3
2012-08-01,Household spending,Discretionary,Queensland,$ Millions,Seasonally Adjusted,5465.7
2012-08-01,Household spending - Percentage change from previous period,Discretionary,Queensland,Percent,Seasonally Adjusted,1.2
2012-08-01,Household spending,Food,Queensland,$ Millions,Seasonally Adjusted,1445.0
2012-08-01,Household spending - Percentage change from previous period,Food,Queensland,Percent,Seasonally Adjusted,1.7
2012-08-01,Household spending,Furnishings and household equipment,Queensland,$ Millions,Seasonally Adjusted,661.8
2012-08-01,Household spending - Percentage change from previous period,Furnishings and household equipment,Queensland,Percent,Seasonally Adjusted,0.2
2012-08-01,Household spending,Goods,Queensland,$ Millions,Seasonally Adjusted,5174.2
2012-08-01,Household spending - Percentage change from previous period,Goods,Queensland,Percent,Seasonally Adjusted,1.2
2012-08-01,Household spending,Health,Queensland,$ Millions,Seasonally Adjusted,926.8
2012-08-01,Household spending - Percentage change from previous period,Health,Queensland,Percent,Seasonally Adjusted,1.7
2012-08-01,Household spending,"Hotels, cafes and restaurants",Queensland,$ Millions,Seasonally Adjusted,1003.6
2012-08-01,Household spending - Percentage change from previous period,"Hotels, cafes and restaurants",Queensland,Percent,Seasonally Adjusted,5.7
2012-08-01,Household spending,Miscellaneous goods and services,Queensland,$ Millions,Seasonally Adjusted,767.6
2012-08-01,Household spending - Percentage change from previous period,Miscellaneous goods and services,Queensland,Percent,Seasonally Adjusted,0.7
2012-08-01,Household spending,Non Discretionary,Queensland,$ Millions,Seasonally Adjusted,3281.3
2012-08-01,Household spending - Percentage change from previous period,Non Discretionary,Queensland,Percent,Seasonally Adjusted,1.4
2012-08-01,Household spending,Recreation and culture,Queensland,$ Millions,Seasonally Adjusted,1399.0
2012-08-01,Household spending - Percentage change from previous period,Recreation and culture,Queensland,Percent,Seasonally Adjusted,-1.5
2012-08-01,Household spending,Services,Queensland,$ Millions,Seasonally Adjusted,3572.8
2012-08-01,Household spending - Percentage change from previous period,Services,Queensland,Percent,Seasonally Adjusted,1.5
2012-08-01,Household spending,Total (Household Spending Categories),Queensland,$ Millions,Seasonally Adjusted,8747.0
2012-08-01,Household spending - Percentage change from previous period,Total (Household Spending Categories),Queensland,Percent,Seasonally Adjusted,1.3
2012-08-01,Household spending,Transport,Queensland,$ Millions,Seasonally Adjusted,1546.0
2012-08-01,Household spending - Percentage change from previous period,Transport,Queensland,Percent,Seasonally Adjusted,1.2
2012-08-01,Household spending,Alcoholic beverages and tobacco,South Australia,$ Millions,Seasonally Adjusted,210.4
2012-08-01,Household spending - Percentage change from previous period,Alcoholic beverages and tobacco,South Australia,Percent,Seasonally Adjusted,0.4
2012-08-01,Household spending,Clothing and footwear,South Australia,$ Millions,Seasonally Adjusted,150.7
2012-08-01,Household spending - Percentage change from previous period,Clothing and footwear,South Australia,Percent,Seasonally Adjusted,0.5
2012-08-01,Household spending,Discretionary,South Australia,$ Millions,Seasonally Adjusted,1873.2
2012-08-01,Household spending - Percentage change from previous period,Discretionary,South Australia,Percent,Seasonally Adjusted,1.8
2012-08-01,Household spending,Food,South Australia,$ Millions,Seasonally Adjusted,494.1
